2212144,1150,5,Consejo Counseling & Referral Service,Consejo Counseling & Referral Service - South Park Youth & Family Services,8615 14th Ave S,,Seattle,98108,http://consejocounseling.org,Youth Substance Abuse/Chemical Dependency Services,NULL,Youth Substance Abuse/Chemical Dependency Services,Provides outpatient and modified outpatient substance abuse and chemical dependency treatment services to high-risk Latino youth. Provides support services for the families of affected youth as well. Sliding scale fees. Accepts Medicaid.,Provides outpatient and modified outpatient substance abuse and chemical dependency treatment services to high-risk Latino youth. Provides support services for the families of affected youth as well. YOUTH AGES 11-21.,Provides outpatient and modified outpatient substance abuse and chemical dependency treatment services to high-risk Latino youth. Provides support services for the families of affected youth as well. YOUTH AGES 11-21.,@&,^Alcohol & Drugs;^Culturally Specific Agencies
2212145,1150,5,Consejo Counseling & Referral Service,Consejo Counseling & Referral Service - Tacoma,5915 Orchard St W,Unit B,Tacoma,98466,http://consejocounseling.org,Youth Substance Abuse/Chemical Dependency Services,NULL,Youth Substance Abuse/Chemical Dependency Services,Provides outpatient and modified outpatient substance abuse and chemical dependency treatment services to high-risk Latino youth. Provides support services for the families of affected youth as well. Sliding scale fees. Accepts Medicaid.,Provides outpatient and modified outpatient substance abuse and chemical dependency treatment services to high-risk Latino youth. Provides support services for the families of affected youth as well. YOUTH AGES 11-21.,Provides outpatient and modified outpatient substance abuse and chemical dependency treatment services to high-risk Latino youth. Provides support services for the families of affected youth as well. YOUTH AGES 11-21.,@&,^Alcohol & Drugs;^Culturally Specific Agencies
2212146,977,1,Eating Disorders Anonymous,*Main Site - Eating Disorders Anonymous,,,Bellevue,,http://eatingdisordersanonymous.org,Support Groups,http://www.eatingdisordersanonymous.org/meetings.html#WA,Support Groups,Offers support group meetings for people with eating disorders or who are concerned that they may have an eating disorder. Some groups open to family and friends. Visit website for locations and meeting times.,Offers support group meetings for people with eating disorders or who are concerned that they may have an eating disorder. Some groups open to family and friends. Visit website for locations and meeting times.,Offers support group meetings for people with eating disorders or who are concerned that they may have an eating disorder. Some groups open to family and friends. Visit website for locations and meeting times.,&Eating Disorder Support Groups,^Don't Map This Resource;^Eating Disorders
2212155,1829,1,Ingersoll Gender Center,*Main Site - Ingersoll Gender Center,517 E Pike Street,Lower Floor,Seattle,98122,http://ingersollgendercenter.org,Transgender Support,NULL,Transgender Support,"Coordinates peer facilitated support groups for trans- and gender-variant individuals, partners, family, friends and community allies to come together for information and mutual support.","Coordinates peer facilitated support groups for trans- and gender-variant individuals, partners, family, friends and community allies to come together for information and mutual support.","Coordinates peer facilitated support groups for trans- and gender-variant folks, partners, family, friends and community allies to come together for information and mutual support.",&Transgender Support Groups,^GLBTQ
2212162,2026,1,Nar-Anon Family Groups,*Main Site - Nar-Anon Family Groups,3807 Reith Rd,Trinity Community Church,Kent,98032,http://nar-anon.org,Support Groups,NULL,Support Groups,Organizes support groups for families and friends of drug abusers to help them gain an understanding of drug dependence and of the family's roles that provoke and enable drug abuse.,Organizes support groups for families and friends of drug abusers to help them gain an understanding of drug dependence and of the family's roles that provoke and enable drug abuse.,Organizes support groups for families and friends of drug abusers to help them gain an understanding of drug dependence and of the family's roles that provoke and enable drug abuse. Call for times and locations of meetings.,&Nar-Anon Support Groups,^Alcohol & Drugs;^Don't Map This Resource
2212163,1948,1,Narcotics Anonymous,*Main Site - Narcotics Anonymous,PO Box 70404,,Seattle,98127,http://seattlena.org,Support Groups,http://www.seattlena.org,Support Groups,Facilitates support groups and a helpline for people who have desire to stop abusing drugs. Provides emotional support and peer-in-recovery counseling to help chemically dependent people deal with feelings and share experiences.,Facilitates support groups and a helpline for people who have desire to stop abusing drugs. Provides emotional support and peer-in-recovery counseling to help chemically dependent people deal with feelings and share experiences.,Facilitates support groups and a helpline for people who have desire to stop abusing drugs. Provides emotional support and peer-in-recovery counseling to help chemically dependent people deal with feelings and share experiences. Call for locations and times of meetings.,&Narcotics Anonymous Support Groups,^Alcohol & Drugs
2212195,2978,8,Seattle Counseling Service,*Main Site - Seattle Counseling Service,1216 Pine St,Suite 300,Seattle,98101,http://seattlecounseling.org,Young Adult Services,NULL,Young Adult Services,"Offers counseling for LGBTQI young adults as well as children of LGBTQI adults. Crisis counselors are trained in issues involving youth, sexual orientation, 'coming out,' HIV/AIDS and gender identification. Sliding scale fees.","Offers counseling for LGBTQI young adults as well as children of LGBTQI adults. Crisis counselors are trained in issues involving youth, sexual orientation, 'coming out,' HIV/AIDS and gender identification.","Offers counseling for Lesbian, Gay, Bisexual and Transgender young adults 18-25 and children of LGBT individuals. Crisis counselors are trained in issues involving youth, sexual orientation, 'coming out', HIV/AIDS and gender identification. Offers referrals for housing, employment, health, mental health and counseling.",&GLBTQ Young Adult Services,^Counseling;^GLBTQ
2212375,13362,1,Safe Place,*Main Site - Safe Place,,,,,http://nationalsafeplace.org,Crisis Response Hotline,NULL,Crisis Response Hotline,"Offers access to immediate help and safety for youth, ages 12-17, in crisis. Youth may call the hotline or walk into a facility displaying the Safe Place sign to request help, such as reconnecting with a parent/guardian or finding shelter.","Offers access to immediate help and safety for youth ages 12-17 in crisis. A youth may call the hotline or walk into a facility displaying the Safe Place sign to request help, such as reconnecting with a parent/guardian or finding shelter.","Offers access to immediate help and safety, focused on finding shelter, for youth ages 12-17 in crisis and seeking immediate assistance. Youth may enter a bus or building with the yellow and black Safe Place sign and request help. Youth may also contact Safe Place themselves by calling or texting the hotline. Current Safe Place sites include: Metro Transit buses, YMCAs of Greater Seattle and the King County Library System.",&Crisis Shelter Hotline,"^Homelessness & Runaways, Shelters"
2213120,3432,13,Valley Cities Counseling & Consultation,*Main Site - Valley Cities Counseling & Consultation - Auburn,2704 I St NE,,Auburn,98002,http://valleycities.org,Child and Adolescent Outpatient Services,http://www.valleycities.org,Child and Adolescent Outpatient Services,"Offers children's crisis/emergency services, individual and family therapy, medication evaluation/monitoring, case management, outreach and home-based services, parent support groups and other family support activities.",FOR TIER-ELIGIBLE CLIENTS ONLY. Offers crisis and outpatient clinical mental health support and services for children and their families; includes co-occurring disorders school-based day treatment.,NULL,NULL,^Counseling
2213126,3432,13,Valley Cities Counseling & Consultation,Valley Cities Counseling & Consultation - Federal Way,33301 1st Way S,Suite C-115,Federal Way,98003,http://valleycities.org,Child and Adolescent Outpatient Services,http://www.valleycities.org,Child and Adolescent Outpatient Services,"Offers children's crisis/emergency services, individual and family therapy, medication evaluation/monitoring, case management, outreach and home-based services, parent support groups and other family support activities.",FOR TIER-ELIGIBLE CLIENTS ONLY. Offers crisis and outpatient clinical mental health support and services for children and their families; includes co-occurring disorders school-based day treatment.,NULL,NULL,^Counseling
2213133,3432,13,Valley Cities Counseling & Consultation,Valley Cities Counseling & Consultation - Kent,325 W Gowe St,,Kent,98032,http://valleycities.org,Child and Adolescent Outpatient Services,http://www.valleycities.org,Child and Adolescent Outpatient Services,"Offers children's crisis/emergency services, individual and family therapy, medication evaluation/monitoring, case management, outreach and home-based services, parent support groups and other family support activities.",FOR TIER-ELIGIBLE CLIENTS ONLY. Offers crisis and outpatient clinical mental health support and services for children and their families; includes co-occurring disorders school-based day treatment.,NULL,NULL,^Counseling
2213138,3432,13,Valley Cities Counseling & Consultation,Valley Cities Counseling & Consultation - Renton,221 Wells Ave S,,Renton,98057,http://valleycities.org,Child and Adolescent Outpatient Services,http://www.valleycities.org,Child and Adolescent Outpatient Services,"Offers children's crisis/emergency services, individual and family therapy, medication evaluation/monitoring, case management, outreach and home-based services, parent support groups and other family support activities.",FOR TIER-ELIGIBLE CLIENTS ONLY. Offers crisis and outpatient clinical mental health support and services for children and their families; includes co-occurring disorders school-based day treatment.,NULL,NULL,^Counseling
2213144,3432,13,Valley Cities Counseling & Consultation,Valley Cities Counseling & Consultation - HealthPoint Midway,26401 Pacific Highway S,Suite 201,Des Moines,98198,http://valleycities.org,Child and Adolescent Outpatient Services,http://www.valleycities.org,Child and Adolescent Outpatient Services,"Offers children's crisis/emergency services, individual and family therapy, medication evaluation/monitoring, case management, outreach and home-based services, parent support groups and other family support activities.",FOR TIER-ELIGIBLE CLIENTS ONLY. Offers crisis and outpatient clinical mental health support and services for children and their families; includes co-occurring disorders school-based day treatment.,NULL,NULL,^Counseling
2213151,1540,2,"NW Network of Bisexual, Trans, Lesbian and Gay Survivors of Abuse","*Main Site - NW Network of Bisexual, Trans, Lesbian and Gay Survivors of Abuse",PO Box 18436,,Seattle,98118,http://nwnetwork.org,Individual Counseling,NULL,Individual Counseling,WTT records combined. See support groups.,"Provides advocacy based counseling over the phone or in person to lesbian, gay, bisexual, transgender, queer/questioning or intersexed (LGBTQ) people who have been or are in an abusive relationship/domestic violence situation.","Provides individual counseling over the phone or in person to bisexual, trans, lesbian, gay and questioning people who are in an abusive relationship/domestic violence situation or are getting out of an abusive relationship. Accepts collect calls.",&Individual Relationship Counseling,^Counseling;^GLBTQ
2213152,1540,5,"NW Network of Bisexual, Trans, Lesbian and Gay Survivors of Abuse","*Main Site - NW Network of Bisexual, Trans, Lesbian and Gay Survivors of Abuse",PO Box 18436,,Seattle,98118,http://nwnetwork.org,Safety Planning,NULL,Safety Planning,Assists LGBTQI survivors of domestic violence in developing de-escalation and boundary setting strategies; offers shelter and other basic needs referrals.,Assists LGBTQI survivors of domestic violence in developing de-escalation and boundary setting strategies; offers shelter and other basic needs referrals.,"Supports survivors of domestic violence in the ongoing process of making choices that may increase a sense of safety and well-being. Assists clients in developing de-escalation and boundary setting strategies, offers referrals to shelter and other services, and supports clients in accessing the criminal justice system. Accepts collect calls.",&Dating Violence Safety Planning,^Dating & Domestic Violence;^GLBTQ
2213154,1540,7,"NW Network of Bisexual, Trans, Lesbian and Gay Survivors of Abuse","*Main Site - NW Network of Bisexual, Trans, Lesbian and Gay Survivors of Abuse",PO Box 18436,,Seattle,98118,http://nwnetwork.org,Youth Programs,NULL,Youth Programs,"Provides LGBTQI youth support group to address the ways they deal with violence and crime, as well as a peer education project where LGBTQI youth develop skills to talk to youth about violence and relationships.","Provides LGBTQI youth support group to address the ways they deal with violence and crime, as well as a peer education project where LGBTQI youth develop skills to talk to youth about violence and relationships.","Provides GLBTQI youth support group to address the ways they deal with violence and crime, as well as a peer education project where GLBTQI youth develop skills to talk to youth about violence and healthy relationships.",&LGBTQI Youth Programs,^GLBTQ
2216198,1955,1,National Runaway Safeline,*Main Site - National Runaway Safeline,3080 N Lincoln Ave,,Chicago,60657,http://1800runaway.org,Youth Crisis Services,NULL,Youth Crisis Services,"Links runaways ages 12-21, homeless youth, their parents and social service agencies through no-cost message delivery, crisis intervention, and information and referral.","Links runaways ages 12-21, homeless youth, their parents and social service agencies through no-cost message delivery, crisis intervention, and information and referral.","Links runaways ages 12-21, homeless youth, their parents and social service agencies across the United States through no-cost message delivery, crisis intervention, and information and referral.",&Homeless Youth Crisis Services,"^Don't Map This Resource;^Homelessness & Runaways, Other Helpful Services"
2216199,1955,2,National Runaway Safeline,*Main Site - National Runaway Safeline,3080 N Lincoln Ave,,Chicago,60657,http://1800runaway.org,Message Relay/Conference Calls,http://www.1800runaway.org/youth/nrs_can_help/getting_in_touch/,Message Relay/Conference Calls,NULL,Can act as a message center between runaway youth and their parents. Also provides conference call capabilities for youth ready to talk to their parents.,Can act as a message center between runaway youth ages 12-21 and their parents. Also provides conference call capabilities for youth ready to talk to their parents.,&Homeless Youth Message Relay System,"^Don't Map This Resource;^Homelessness & Runaways, Other Helpful Services"
2216200,1955,3,National Runaway Safeline,*Main Site - National Runaway Safeline,3080 N Lincoln Ave,,Chicago,60657,http://1800runaway.org,Home Free Program,http://www.1800runaway.org/youth/nrs_can_help/home_free/,Home Free Program,Provides free Greyhound bus tickets to runaways returning home. Serves youth ages 12-20. A Missing Persons Report must have been filed for youth who are ages 18 and younger.,Provides free Greyhound bus tickets to runaways returning home. Serves youth ages 12-20. A Missing Persons Report must have been filed for youth who are ages 18 and younger.,Home Free Program works with Greyhound Bus line's program to provide free Greyhound bus tickets to runaway youth returning home. Serves youth ages 12-20. A Missing Person's Report must have been filed for youth ages 18 and younger.,@&,"^Don't Map This Resource;^Homelessness & Runaways, Other Helpful Services"
2216305,2783,4,Catholic Community Services - University District Youth Center,*Main Site - Catholic Community Services - University District Youth Center,4516 15th Ave NE,,Seattle,98105,http://ccsww.org/udyc,Youth Drop-In Center,NULL,Youth Drop-In Center,"Operates a drop-in center for youth, 13-22; provides case management, counseling, food, clothing, showers, laundry, hygiene items and bus tickets. On-site drug & alcohol counseling services provided by Ryther.","Operates a drop-in center for youth, ages 13-22; provides case management, counseling, food, clothing, showers, laundry, hygiene items and bus tickets. Also provides substance abuse counseling that SATISFIES COURT ORDERED REQUIREMENTS.","Operates a drop-in center for homeless and street-involved youth, ages 13-22; provides case management, counseling, food, clothing, showers, laundry, hygiene items, and bus tickets. Also provides substance abuse counseling that satisfies court-ordered mandates.",Homeless Youth Drop-In Center / University District Youth Center,"^Homelessness & Runaways, Drop-In Centers"
2216306,2783,5,Catholic Community Services - University District Youth Center,*Main Site - Catholic Community Services - University District Youth Center,4516 15th Ave NE,,Seattle,98105,http://ccsww.org/udyc,The Groundwork Project - Wraparound for Homeless Youth,NULL,The Groundwork Project - Wraparound for Homeless Youth,"Offers wraparound services for youth, 15-22, experiencing homelessness. Staff works with youth to address their complex needs such as housing, education, employment, mental health and chemical dependency counseling, etc.","Offers wraparound services for youth, 15-22, experiencing homelessness. Staff works with youth to address their complex needs such as housing, education, employment, mental health and chemical dependency counseling, etc.","Offers wraparound services for youth, 15-22, experiencing homelessness. Staff works with youth to address their complex needs such as housing, education, employment, mental health and chemical dependency counseling, etc at three King County locations (Seattle, Kent, Redmond).",Wraparound Services for Homeless Youth / The Groundwork Project,"^Homelessness & Runaways, Other Helpful Services"
2216308,1704,1,King County Department of Community and Human Services - Employment and Education Resources,King County Department of Community and Human Services - Work Training Program - WorkSource Renton,500 SW 7th St,,Renton,98057,http://kingcounty.gov/socialservices/Employment%20and%20Education%20Resources.aspx,YouthSource,http://www.kingcounty.gov/socialservices/Employment%20and%20Education%20Resources/ServicesAndPrograms/YouthServices/OutOfSchoolPrograms/YouthSource.aspx,YouthSource,"Provides individualized education and case management services for high school dropouts. Program includes GED preparation, math and reading remediation, computer skills training, post-secondary training plans and employment.","Provides individualized education and case management services for high school dropouts. Program includes GED preparation, math and reading remediation, computer skills training, post-secondary training plans and employment.","Provides individualized education and case management services for high school dropouts, ages 16-24. Program includes General Education Development (GED) preparation and testing, math and reading remediation, and computer and life skills training.",YouthSource Education Program,^Education;^Employment & Job Training
2216329,2272,1,Southwest Youth & Family Services,*Main Site - Southwest Youth & Family Services,4555 Delridge Way SW,,Seattle,98106,http://swyfs.org,Counseling,http://www.swyfs.org,Counseling,"Provides individual, family and group counseling for youth, ages 20 and younger, and their families in Southwest Seattle. Low-income payment options available.","Provides individual, family and group counseling for youth, ages 20 and younger, and their families in Southwest Seattle.","Provides individual, family and group counseling for youth, ages 20 and younger, and their families in Southwest Seattle.",@&,^Counseling
2216330,2272,4,Southwest Youth & Family Services,*Main Site - Southwest Youth & Family Services,4555 Delridge Way SW,,Seattle,98106,http://swyfs.org,Teen Parent GED Classes,http://www.swyfs.org,Teen Parent GED Classes,"Offers GED prep classes for pregnant or parenting youth, 16-21, in Southwest Seattle. Childcare provided. Also provides family advocacy for enrollees.",Offers GED prep classes for pregnant or parenting teens in Southwest Seattle. Childcare provided. Also provides family advocacy for enrollees.,"Offers high school credit and GED prep classes for pregnant or parenting teens in Southwest Seattle. Childcare provided.  Also provides family advocacy for enrollees. For pregnant or parenting teens, ages 16 through 21.",@&,^Education
2216331,2272,6,Southwest Youth & Family Services,*Main Site - Southwest Youth & Family Services,4555 Delridge Way SW,,Seattle,98106,http://swyfs.org,Immigrant & Refugee Advocacy ,http://www.swyfs.org,Immigrant & Refugee Advocacy ,"Provides advocacy and family support for Cambodian, Latino, Somali, Samoan/Pacific Islander and Iraqi or Arab-speaking immigrant/refugee families regarding immigration, medical services, housing, legal, education and other needs. No fees.","Provides advocacy and family support for Cambodian, Latino, Somali, Samoan/Pacific Islander and Iraqi or Arab-speaking families regarding immigration, medical services, housing, legal, education and other needs.","Provides advocacy and family support for Cambodian, Latino, Somali, Samoan/Pacific Islander and Iraqi or Arab-speaking families regarding immigration, medical services, housing, legal, education and other needs.",&Immigrant & Refugee Advocacy,^Culturally Specific Agencies
2216332,2272,7,Southwest Youth & Family Services,*Main Site - Southwest Youth & Family Services,4555 Delridge Way SW,,Seattle,98106,http://swyfs.org,Southwest Education Center High School Re-Entry Program,http://www.swyfs.org,Southwest Education Center High School Re-Entry Program,"Program offers a high-school credit retrieval program to students who have dropped out, been suspended or expelled from school. Students earn high school credits that can be transferred to another school.","Program offers a high-school credit retrieval program to students who have dropped out, been suspended or expelled from school. Students earn high school credits that can be transferred to another school.","Program offers a high-school credit retrieval program to students who have dropped out, been suspended or expelled from school. Students earn high school credits that can be transferred to another school.",@&,^At-Risk Youth;^Education
2216335,2272,16,Southwest Youth & Family Services,*Main Site - Southwest Youth & Family Services,4555 Delridge Way SW,,Seattle,98106,http://swyfs.org,Case Management,NULL,Case Management,"Provides case management services for at-risk youth, ages 11-17. Connects them to needed services such as educational support, housing, mental health and chemical dependency treatment and employment.","Provides case management services for at-risk youth, ages 11-17. Connects them to needed services such as educational support, housing, mental health and chemical dependency treatment and employment.","Provides case management services for youth, aimed at but not limited to youth with criminal offenses. Connects them to needed services such as educational support, housing, mental health and chemical dependency treatment and employment. For youth, ages 11 through 17, who meet eligibility criteria.",@&,^At-Risk Youth
2216337,2355,1,YouthCare - James W. Ray Orion Multi-Service Center,*Main Site - YouthCare - James W. Ray Orion Multi-Service Center,1828 Yale Ave,,Seattle,98101,http://youthcare.org,Case Management,http://www.family-services.org/get_help/homeless/index.php,Case Management,NULL,"Case managers support youth, ages 13-22, with their life changes by providing assessment, referrals and life skills counseling. Also help youth attain housing, enroll in school, obtain medical care and connect with other community services.","Offers individualized case management, comprehensive support services and advocacy for homeless, street involved and gang involved youth. Helps youth attain housing, enroll in school, obtain medical care, connect with other community services, and more. Provides specialized case management for sexually exploited youth.",@&,"^Homelessness & Runaways, Other Helpful Services"
2216338,2355,2,YouthCare - James W. Ray Orion Multi-Service Center,*Main Site - YouthCare - James W. Ray Orion Multi-Service Center,1828 Yale Ave,,Seattle,98101,http://youthcare.org,Education Services,http://www.youthcare.org/index.php/services/education,Education Services,"Provides education services, GED and tutoring for homeless and street youth, ages 14 through 21, living in the Seattle School District. Breakfast and lunch are provided for students.","Provides education services, GED and tutoring for homeless and street youth, ages 14 through 21, living in the Seattle School District. Breakfast and lunch are provided for students.","Provides education services, GED and tutoring for homeless and street-involved youth, ages 14 through 21, living in the Seattle School District. Breakfast and lunch are provided for students.",@&,"^Education;^Homelessness & Runaways, Other Helpful Services"
2216340,2355,4,YouthCare - James W. Ray Orion Multi-Service Center,*Main Site - YouthCare - James W. Ray Orion Multi-Service Center,1828 Yale Ave,,Seattle,98101,http://youthcare.org,Drop-In Center,http://www.youthcare.org/index.php/services/orion,Drop-In Center,"Drop-in center for  youth, ages 13-22, offers hot meals, shower and laundry facilities, clothing and hygiene items, and crisis intervention and counseling.","Drop-in center for  youth, ages 13-22, offers hot meals, shower and laundry facilities, clothing and hygiene items, and crisis intervention and counseling.","Drop-in center for  youth, 13-22, offers hot meals, shower and laundry facilities, clothing and hygiene items, and crisis intervention and counseling. Also provides individual, family, and group case management; advocacy, drug and alcohol counseling for at-risk youth and youth who are commercially sexually exploited. Offers employment training, counseling and placement opportunities.",@&,"^Homelessness & Runaways, Drop-In Centers"
2216341,2355,7,YouthCare - James W. Ray Orion Multi-Service Center,*Main Site - YouthCare - James W. Ray Orion Multi-Service Center,1828 Yale Ave,,Seattle,98101,http://youthcare.org,Employment Services,http://www.youthcare.org/index.php/services/training,Employment Services,"Provides hands on-work training for homeless youth, ages 16-23, through five programs: The Barista Training and Education Program, YouthTech, The Working Zone Tile Project and YouthBuild and Civil Justice Corps.","Provides hands-on work training for homeless youth, ages 16-23, through five programs: The Barista Training and Education Program, YouthTech, The Working Zone Tile Project and YouthBuild and Civil Justice Corps.","Provides hands on work training for homeless youth, 16-24, through five programs: The Barista Training and Education Program, YouthTech, The Working Zone Tile Project and YouthBuild and Civil Justice Corps.",@&,"^Employment & Job Training;^Homelessness & Runaways, Other Helpful Services"
2216344,2355,11,YouthCare - James W. Ray Orion Multi-Service Center,*Main Site - YouthCare - James W. Ray Orion Multi-Service Center,1828 Yale Ave,,Seattle,98101,http://youthcare.org,Young Adult Shelter,NULL,Young Adult Shelter,"Provides a short-term emergency shelter with 20 beds for young adults, ages 18-24. Shelter participants will be provided a hot dinner and cold breakfast, showers, laundry, hygiene items, clothing and case management.","Provides a short-term emergency shelter with 20 beds for young adults, ages 18 through 24.","Provides a short-term emergency shelter with eight beds for young adults ages 18-24. Shelter participants will be provided a hot dinner and cold breakfast, showers, laundry, hygiene and clothing banks, case management and other service referrals and a safe place to sleep at night. Applicants must get their name on the nightly shelter list during shelter office signup hours every night that they wish to stay.",@&,"^Homelessness & Runaways, Shelters"
2216348,1488,1,Auburn Youth Resources - Enumclaw Youth & Family Services,*Main Site - Auburn Youth Resources - Enumclaw Youth & Family Services,1356 Cole St,,Enumclaw,98022,http://ayr4kids.org,Youth Drop-in Center,www.ayr4kids.org,Youth Drop-in Center,"Offers a drop-in computer center, homework assistance, free arcade games and after-school and summer programs for Enumclaw area youth, ages 8-18.","Offers a drop-in computer center, homework assistance, free arcade games and after-school and summer programs for Enumclaw area youth, ages 8-18.","Offers a computer center, homework assistance and tutoring, free arcade games and after-school and summer programs for Enumclaw area youth, 8-18.",@Enumclaw Youth & Family Services,^Education;^Recreation & Youth Involvement
2216350,1488,3,Auburn Youth Resources - Enumclaw Youth & Family Services,*Main Site - Auburn Youth Resources - Enumclaw Youth & Family Services,1356 Cole St,,Enumclaw,98022,http://ayr4kids.org,Counseling,www.ayr4kids.org,Counseling,Provides individual and family counseling for Enumclaw youth and their families. Low-income payment options available. Accepts Medicaid.,Provides individual and family counseling for Enumclaw youth and their families. ,"Provides individual and family counseling for Enumclaw youth and young adults through age 19, and their families.",@Enumclaw Youth & Family Services,^Counseling
2216352,1488,6,Auburn Youth Resources - Enumclaw Youth & Family Services,*Main Site - Auburn Youth Resources - Enumclaw Youth & Family Services,1356 Cole St,,Enumclaw,98022,http://ayr4kids.org,Substance Abuse Services,NULL,Substance Abuse Services,"Offers family-based, outpatient substance abuse treatment programs for youth, 12-18. Includes a program for clients experiencing co-occurring substance abuse and mental health problems. Accepts Medicaid. Assessments are free.","Offers family-based, outpatient substance abuse treatment. Includes a program for clients experiencing co-occurring substance abuse and mental health problems. Accepts Medicaid. Assessments are free. SERVES YOUTH, 12-18.","Offers family-based, outpatient substance abuse treatment ranging from prevention to aftercare. Includes a program for clients experiencing co-occurring substance abuse and mental health problems. Accepts Medicaid; assessments are free. Serves Enumclaw-area youth ages 12-18.",@Enumclaw Youth & Family Services,^Alcohol & Drugs
2216362,991,2,Boys & Girls Clubs of Bellevue,Boys & Girls Clubs of Bellevue - The Club,15228 Lake Hills Blvd,,Bellevue,98007,http://bgcbellevue.org,Teen Center,http://www.bgcbellevue.org/Programs/Teens,Teen Center,"Drop-in center provides recreational activities, concerts, leadership programs, a weekly dinner, homework assistance, and other academic support programs to help at-risk youth stay in school. Serves youth, ages 11-19.","Drop-in center provides recreational activities, concerts, leadership programs, a weekly dinner, homework assistance, and other academic support programs to help at-risk youth stay in school. Serves youth, ages 11-19.","Drop-in center offers concerts, arts, drama, discussion groups, movie nights, leadership opportunities, late night Friday night activities, teen dinners and more. Additionally provides homework assistance and other academic support programs. For youth grades 6-12.",Ground Zero Teen Center,^Education;^Leadership & Volunteer Opportunities;^Recreation & Youth Involvement
2216553,1447,5,American Red Cross Serving King & Kitsap Counties,*Main Site - American Red Cross Serving King & Kitsap Counties,1900 25th Ave S,,Seattle,98144,http://redcross.org/wa/seattle,"Safety Training for Adults, Youth & Businesses",NULL,"Safety Training for Adults, Youth & Businesses","Red Cross offers First Aid (for adults, children and infants), CPR (for adults, children and infants), AED, HIV/AIDS, lifeguard training, Emergency Response, etc. Visit website for list of classes.","Red Cross offers First Aid (for adults, children and infants), CPR (for adults, children and infants), AED, HIV/AIDS, lifeguard training, Emergency Response, etc. Visit website for list of classes.","Trains people to come to the rescue of their family, friends, co-workers and fellow citizens. Offers First Aid (for adults, children and infants), CPR (for adults, children and infants), AED, HIV/AIDS, lifeguard training, Emergency Response, etc.",&CPR/Safety Training,^Leadership & Volunteer Opportunities;^Recreation & Youth Involvement
2216559,1447,5,American Red Cross Serving King & Kitsap Counties,American Red Cross - Kitsap County Office,811 Pacific Ave,,Bremerton,98337,http://redcross.org/wa/seattle,"Safety Training for Adults, Youth & Businesses",NULL,"Safety Training for Adults, Youth & Businesses","Red Cross offers First Aid (for adults, children and infants), CPR (for adults, children and infants), AED, HIV/AIDS, lifeguard training, Emergency Response, etc. Visit website for list of classes.","Red Cross offers First Aid (for adults, children and infants), CPR (for adults, children and infants), AED, HIV/AIDS, lifeguard training, Emergency Response, etc. Visit website for list of classes.","Trains people to come to the rescue of their family, friends, co-workers and fellow citizens. Offers First Aid (for adults, children and infants), CPR (for adults, children and infants), AED, HIV/AIDS, lifeguard training, Emergency Response, etc.",&CPR/Safety Training,^Leadership & Volunteer Opportunities;^Recreation & Youth Involvement
2216940,2340,1,Overeaters Anonymous,*Main Site - Overeaters Anonymous,PO Box 17415,,Seattle,98127,http://seattleoa.org,Meetings and Support,NULL,Meetings and Support,"Provides informal meeting and support for those suffering from compulsive eating. Only requirement for membership is a desire to stop eating compulsively. Call to speak to an on-call volunteer, leave a message or request list of meetings.",Provides informal meeting and support for those suffering from compulsive eating.,Provides informal meeting and support for those suffering from compulsive eating and for those interested in recovery from compulsive eating. Call for times and locations of meetings.,&Overeaters Anonymous Support Groups,^Don't Map This Resource;^Eating Disorders
2217633,12445,1,YMCA of Greater Seattle - Young Adult Services,*Main Site - YMCA of Greater Seattle - Young Adult Services,2100 24th Ave S,Suite 250,Seattle,98144,http://ymcayas.org,Support Services,NULL,Support Services,"Offers supportive services to help young adults achieve their goals as they transition from foster care or homelessness. Core programming is focused around education, employment and life skills.","Offers supportive services to help young adults achieve their goals as they transition from foster care or homelessness. Core programming is focused around education, employment and life skills.","Offers housing and supportive services to help young adults ages 17-25 achieve their goals as they transition from foster care or homelessness. Core programming is focused around housing, education, employment and life skills. Offers supportive short-term  (transitional) and long-term  (permanent) housing in locations throughout Seattle and King County and operates the Foster Youth IDA Program, which provides matched savings accounts and financial education for youth to purchase a car, computer or health care premiums, or to pay rent or tuition/job training.",&Foster Care/Homeless Support Services,"^Employment & Job Training;^Homelessness & Runaways, Other Helpful Services"
2217660,1853,1,Mercer Island Youth and Family Services,*Main Site - Mercer Island Youth and Family Services,2040 84th Ave SE,,Mercer Island,98040,http://mercergov.org/yfs,Counseling,http://www.mercergov.org/yfs,Counseling,"Provides affordable individual, couples and family counseling to help Mercer Island youth and adults resolve personal problems and deal effectively with life events. Call to request an appointment or screening.","Provides counseling for youth, parents and families on Mercer Island.","Provides individual and family counseling to help Mercer Island youth resolve personal problems and deal effectively with life events. Issues addressed include family conflict, divorce, adolescent issues, school/work concerns, behavior problems, grief and loss, abuse, self-esteem, depression, anxiety and other emotional concerns.",&Youth Counseling,^Counseling
